target,project,window,minutes,status,notes
Work the plan/concept into a cleaner picture,NSERC,Aug 15-21,120,active,before Mon 1pm
Prep a slide: succinct and structured,NSERC,Aug 15-21,60,active,before Mon 1pm
Check what other info is needed post-Monday-feedback,NSERC,Aug 15-21,30,active,before Tue 10am
Plan what to work on next,NSERC,Aug 15-21,60,active,before Tue 10am
Build Tuesday's presentation succinct,NSERC,Aug 15-21,60,active,before Tue 10am
Finish wrapping up the formative study analysis,Throughline,Aug 15-21,480,active,ideally before Tue 2pm Jian meeting
Glean findings into implications for Challenges + Design Requirements,Throughline,Aug 15-21,120,active,
Rough draft in Overleaf: formative study + DR for baseline,Throughline,Aug 15-21,180,active,
Refine the introduction,Throughline,Aug 15-21,120,active,
Read related-works papers,Vibecoding,Aug 15-21,270,active,plan said 4-5h; used midpoint
Draft related works,Vibecoding,Aug 15-21,240,active,before Fri 11am
Write quantitative results,Vibecoding,Aug 15-21,120,active,
Think through Selena's chart and suggest an alternative,Vibecoding,Aug 15-21,60,active,
