date,start,end,minutes,bucket,domain,project,activity,confidence,notes
2026-08-15,00:00,05:30,330,sleep,,,sleep,logged,leading block
2026-08-15,05:30,06:15,45,necessities,,,wife prep and drop-off,logged,
2026-08-15,06:15,06:45,30,necessities,,,breakfast,logged,football video on the side; eating dominant
2026-08-15,06:45,07:15,30,slack,,,YouTube - football,logged,second video back to back
2026-08-15,07:15,07:45,30,necessities,,,dishes,logged,audiobook on; see growth-log
2026-08-15,07:45,08:33,48,slack,,,crashed on couch,logged,"guess - 45-50min; 07:30 study cancelled, felt lethargic, started with waiting for coffee to drip. Drifted from there…"
2026-08-15,08:33,10:33,120,work,personal,Planner,refine planner and build the log plan,logged,can justify spending 2 hours on self-growth as work; growth ledger and the midnight-to-midnight sleep rule
2026-08-15,10:33,12:00,87,slack,personal,Planner,keep building the planner,logged,"same activity as the block before it, different character - his call. See parking-lot.md #2. Still credited in growth-log"
2026-08-15,12:00,12:30,30,rest,,,"shave, wash face, drink water",logged,
2026-08-15,12:30,12:45,15,slack,,,QWAIYAT,logged,
2026-08-15,12:45,13:15,30,slack,personal,Planner,parking lot and clickable viz spec,logged,"Still had thoughts bubbling from before, unable to switch context. Came back to fix it when it would have been wiser to work on real stuff instead"
2026-08-15,13:15,14:15,60,work,personal,,build weekly schedule,logged,
2026-08-15,14:15,14:30,15,targeted_work,research,Throughline,analyze formative study,logged,
2026-08-15,14:30,15:30,60,necessities,,,weekly call with Noah,logged,"friend; standing ~1h weekly call, wasn't in the schedule - added going forward"
2026-08-15,15:30,16:12,42,targeted_work,research,Throughline,analyze participant 2,logged,"cleaned the room while listening to the transcript - slower at both, but felt net more productive than either alone. Concurrent chores during targeted work, not leisure audio - see parking-lot.md #5"
2026-08-15,16:12,17:00,48,targeted_work,research,Throughline,meta - interview technique reflection,logged,how he interviews and how to get better at it
2026-08-15,17:00,18:17,77,targeted_work,research,Throughline,analyze participant 2,logged,same room-cleaning multitask as the 15:30 block - see parking-lot.md #5
2026-08-15,18:17,18:42,25,necessities,,,pick up wife,logged,
